Country,Date,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V
Germany,2022-03-02,128109182,29969624,12794670,3737171,0
Germany,2022-03-03,128284962,30006018,12794679,3737666,0
Germany,2022-03-04,128415320,30033558,12794710,3737989,0
Germany,2022-03-05,128456024,30043784,12794719,3738055,0
Germany,2022-03-06,128471538,30047298,12794720,3738067,0
Germany,2022-03-07,128547316,30063035,12794762,3738462,0
Germany,2022-03-08,128684882,30090647,12795225,3738909,0
Germany,2022-03-09,128829970,30121091,12795342,3739147,0
Germany,2022-03-10,128988221,30155542,12795355,3739490,0
Germany,2022-03-11,129122944,30185268,12795866,3739835,0
Germany,2022-03-12,129162738,30195641,12795872,3739982,0
Germany,2022-03-13,129176253,30200243,12795875,3740012,0
Germany,2022-03-14,129250361,30217417,12795878,3740161,0
Germany,2022-03-15,129392484,30247696,12796253,3740454,0
Germany,2022-03-16,129540558,30281566,12796261,3740661,0
Germany,2022-03-17,129698049,30317312,12796289,3740889,0
Germany,2022-03-18,129819516,30343895,12796305,3741094,0
Germany,2022-03-19,129856420,30353532,12796310,3741125,0
Germany,2022-03-20,129869439,30356820,12796314,3741144,0
Germany,2022-03-21,129945000,30373774,12796319,3741267,0
Germany,2022-03-22,130080814,30402371,12796699,3741598,0
Germany,2022-03-23,130225540,30432812,12796706,3741775,0
Germany,2022-03-24,130375123,30463880,12796708,3742093,0
Germany,2022-03-25,130497589,30489506,12796745,3742318,0
Germany,2022-03-26,130528991,30497971,12796776,3742338,0
Germany,2022-03-27,130540480,30501204,12796826,3742351,0
Germany,2022-03-28,130613663,30518480,12796877,3742463,0
Germany,2022-03-29,130748597,30546229,12797278,3742728,0
Germany,2022-03-30,130899836,30579225,12797341,3742988,0
Germany,2022-03-31,131046575,30611726,12797386,3743139,0
Germany,2022-04-01,131144160,30631994,12797401,3743223,0
Germany,2022-04-02,131170439,30638959,12797417,3743245,0
Germany,2022-04-03,131181141,30641660,12797418,3743294,0
Germany,2022-04-04,131241418,30655276,12797419,3743357,0
Germany,2022-04-05,131368661,30678752,12797800,3743559,0
Germany,2022-04-06,131519337,30709572,12797813,3743715,0
Germany,2022-04-07,131672695,30738093,12797826,3743898,0
Germany,2022-04-08,131790201,30760724,12797840,3744209,0
Germany,2022-04-09,131814931,30768235,12797856,3744231,0
Germany,2022-04-10,131824024,30770070,12797872,3744253,0
Germany,2022-04-11,131876391,30780739,12797888,3744319,0
