AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,TIME_PERIOD,OBS_VALUE,UNIT_MULT,Unit multiplier
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2020,1532.857,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2023,2854.085,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2022,21186.729,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2021,14194.337,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2020,1.953,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2022,29.703,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2021,21.135,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2020,5.046,6,Millions
CRI,Costa Rica,Annual,Expenditure,"US dollars, PPP converted",,,2022,201.124,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2021,651.622,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2020,540.249,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2022,400.77,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2021,1159.806,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2022,667.351,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2021,4145.495,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2020,4766.794,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2022,666.822,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2021,2115.219,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2020,0.241,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2022,147.165,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2021,253.314,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2022,3021.438,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2021,4416.147,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2020,459.444,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2020,297.743,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2022,14.805,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2021,145.41,6,Millions
CYP,Cyprus,Annual,Expenditure,"US dollars, PPP converted",,,2020,22.088,6,Millions
